Date,AGG,BND,BNDX,BNO,EWA,EWC,EWG,EWJ,EWQ,EWU,EWZ,FTGC,GLD,INDA,MCHI,MUB,PDBC,SLV,SPY,TLT,UNG,USO,VCIT,VCSH
2014-07-01,82.57728576660156,61.07688522338867,38.81667709350586,45.27000045776367,16.50266456604004,25.724889755249023,24.64394187927246,41.13593673706055,22.368743896484375,28.002273559570312,28.998964309692383,25.928375244140625,127.69999694824219,26.443662643432617,38.42523956298828,84.26067352294922,,20.209999084472656,163.86102294921875,85.7477035522461,391.5199890136719,310.8800048828125,60.316009521484375,61.608646392822266
2014-07-02,82.28961181640625,60.912837982177734,38.77885818481445,44.7599983215332,16.65983009338379,25.740781784057617,24.620424270629883,41.03519821166992,22.307689666748047,28.135112762451172,28.6597957611084,25.974578857421875,127.69999694824219,26.93498420715332,38.951847076416016,83.88749694824219,,20.299999237060547,164.02731323242188,84.8312759399414,384.1600036621094,307.20001220703125,60.18975830078125,61.47813415527344
2014-07-03,82.2365951538086,60.8382682800293,38.756160736083984,44.66999816894531,16.684980392456055,25.859996795654297,24.847740173339844,40.90087890625,22.399272918701172,28.281232833862305,28.974740982055664,25.974578857421875,127.16000366210938,26.812149047851562,39.33856201171875,83.9107894897461,,20.290000915527344,164.83401489257812,84.52581787109375,385.6000061035156,306.0,60.13364028930664,61.48583221435547
2014-07-07,82.25936126708984,60.912837982177734,38.81667709350586,44.400001525878906,16.684980392456055,25.653362274169922,24.5263671875,40.59865188598633,22.08637237548828,28.10854148864746,29.01108741760254,25.589542388916016,127.0199966430664,26.961301803588867,39.44552230834961,83.8486328125,,20.170000076293945,164.26016235351562,85.14440155029297,373.6000061035156,305.3599853515625,60.21783447265625,61.46278762817383
2014-07-08,82.42589569091797,61.02473068237305,38.862030029296875,44.06999969482422,16.622116088867188,25.653362274169922,24.220666885375977,40.46432876586914,21.750574111938477,27.710025787353516,28.920230865478516,25.589542388916016,127.06999969482422,26.259416580200195,39.223358154296875,83.9729995727539,,20.209999084472656,163.2040252685547,86.09900665283203,372.79998779296875,305.44000244140625,60.40721130371094,61.516502380371094
2014-07-09,82.49405670166016,61.084346771240234,38.8544807434082,43.810001373291016,16.60953712463379,25.80436134338379,24.338239669799805,40.732975006103516,21.842153549194336,27.723316192626953,29.350242614746094,25.43552589416504,127.83999633789062,26.399789810180664,39.08349609375,83.996337890625,,20.270000457763672,163.93588256835938,86.16773986816406,367.8399963378906,301.5199890136719,60.463321685791016,61.55490493774414
2014-07-10,82.53186798095703,61.09926223754883,38.89228057861328,44.029998779296875,16.515241622924805,25.661312103271484,23.985515594482422,40.02778625488281,21.544513702392578,27.524057388305664,29.42291831970215,25.3585205078125,128.5399932861328,26.04007339477539,38.844879150390625,84.10515594482422,,20.520000457763672,163.2871856689453,86.19063568115234,363.0400085449219,303.20001220703125,60.50535202026367,61.59331130981445
2014-07-11,82.64541625976562,61.188777923583984,38.92253875732422,43.29999923706055,16.69127082824707,25.486474990844727,23.946319580078125,40.09495544433594,21.59793472290039,27.510770797729492,29.55617904663086,25.03508949279785,128.77999877929688,25.78563690185547,39.01765823364258,84.07408142089844,,20.56999969482422,163.51174926757812,86.74052429199219,365.6000061035156,297.2799987792969,60.554500579833984,61.59331130981445
2014-07-14,82.57728576660156,61.09926223754883,38.89985275268555,43.459999084472656,16.766712188720703,25.605680465698242,24.204992294311523,40.565059661865234,21.712411880493164,27.63033103942871,30.161834716796875,25.135196685791016,125.72000122070312,25.75054359436035,39.461978912353516,84.00411987304688,,20.100000381469727,164.33511352539062,86.3663330078125,366.239990234375,298.55999755859375,60.477317810058594,61.56260299682617
2014-07-15,82.47126770019531,61.0545539855957,38.91499710083008,43.029998779296875,16.684980392456055,25.43084716796875,24.032543182373047,40.69940185546875,21.491092681884766,27.683462142944336,30.113386154174805,24.896482467651367,124.52999877929688,25.82073211669922,39.47020721435547,84.12069702148438,,19.8799991607666,164.02731323242188,86.19063568115234,360.4800109863281,295.0400085449219,60.442222595214844,61.5472297668457
2014-07-16,82.53941345214844,61.07688522338867,38.945255279541016,43.18000030517578,16.735275268554688,25.661312103271484,24.259857177734375,40.76655197143555,21.666622161865234,27.8960018157959,29.98619842529297,24.965784072875977,124.97000122070312,26.154129028320312,39.71705627441406,84.32286071777344,,19.90999984741211,164.6344757080078,86.64888000488281,362.55999755859375,298.4800109863281,60.498355865478516,61.5395622253418
2014-07-17,82.78173065185547,61.2409553527832,39.0208854675293,43.5,16.61582374572754,25.597732543945312,23.883615493774414,40.49790954589844,21.300302505493164,27.53734016418457,29.47743797302246,25.135196685791016,127.08999633789062,25.741769790649414,39.14108657836914,84.47061157226562,,20.290000915527344,162.7632293701172,87.74097442626953,349.9200134277344,302.6400146484375,60.750858306884766,61.5472297668457
2014-07-18,82.6908187866211,61.2409553527832,39.01332092285156,43.20000076293945,16.804428100585938,25.788467407226562,23.977676391601562,40.69940185546875,21.559778213500977,27.710025787353516,30.464662551879883,24.84256935119629,126.12999725341797,26.197996139526367,39.404388427734375,84.45504760742188,,20.020000457763672,164.42654418945312,87.45838165283203,348.32000732421875,301.760009765625,60.61057662963867,61.5472297668457
2014-07-21,82.72115325927734,61.2409553527832,39.028446197509766,43.45000076293945,16.735275268554688,25.764623641967773,23.719009399414062,40.632232666015625,21.40713882446289,27.590478897094727,30.937082290649414,24.873371124267578,126.33999633789062,26.364688873291016,39.42083740234375,84.5638656616211,,20.100000381469727,164.1188507080078,87.89366912841797,340.9599914550781,304.79998779296875,60.694732666015625,61.50883102416992
2014-07-22,82.85739135742188,61.32300567626953,39.0359992980957,43.34000015258789,16.854721069335938,25.891780853271484,23.820903778076172,40.76655197143555,21.56740951538086,27.749881744384766,31.300472259521484,24.734760284423828,125.73999786376953,26.838468551635742,40.161376953125,84.6494140625,,20.100000381469727,164.83401489257812,88.07697296142578,333.2799987792969,303.6000061035156,60.701744079589844,61.531890869140625
2014-07-23,82.87252807617188,61.29324722290039,39.06625747680664,43.619998931884766,17.03704071044922,26.018936157226562,23.883615493774414,40.80013656616211,21.582672119140625,27.776447296142578,30.876506805419922,24.911876678466797,125.62000274658203,26.82969856262207,40.57278060913086,84.77379608154297,,20.079999923706055,165.1999969482422,87.96244049072266,332.32000732421875,305.2799987792969,60.722816467285156,61.58564376831055
2014-07-24,82.61521911621094,61.173866271972656,39.0208854675293,43.25,16.986743927001953,26.00303840637207,23.961997985839844,40.59865188598633,21.742942810058594,27.723316192626953,31.173297882080078,24.84256935119629,124.3499984741211,26.987621307373047,40.959495544433594,84.63384246826172,,19.579999923706055,165.20828247070312,87.30563354492188,338.8800048828125,302.55999755859375,60.58253860473633,61.50883102416992
2014-07-25,82.77412414550781,61.28572082519531,39.08897018432617,43.66999816894531,16.87986946105957,25.947404861450195,23.624948501586914,40.732975006103516,21.391878128051758,27.69675064086914,30.924970626831055,24.996583938598633,125.79000091552734,26.803375244140625,40.951263427734375,84.79708862304688,,19.8700008392334,164.43484497070312,88.33660125732422,333.2799987792969,302.1600036621094,60.73683166503906,61.5395622253418
2014-07-28,82.78925323486328,61.270809173583984,39.06625747680664,43.400001525878906,16.94273567199707,25.97125244140625,23.530887603759766,40.96803665161133,21.414775848388672,27.69675064086914,30.961305618286133,24.942676544189453,125.58000183105469,26.882339477539062,41.60952377319336,84.82820129394531,,19.809999465942383,164.50140380859375,88.21440887451172,331.5199890136719,301.1199951171875,60.694732666015625,61.56260299682617
2014-07-29,82.87252807617188,61.32300567626953,39.12678146362305,43.400001525878906,16.917591094970703,25.836151123046875,23.4916934967041,40.8672981262207,21.40713882446289,27.617040634155273,30.597904205322266,24.788663864135742,125.19999694824219,26.72441864013672,41.49431610107422,84.89041137695312,,19.780000686645508,163.7945098876953,88.53521728515625,336.6400146484375,299.1199951171875,60.729820251464844,61.59331130981445
2014-07-30,82.57728576660156,61.09183120727539,39.05116271972656,42.810001373291016,16.930164337158203,25.915624618530273,23.40546989440918,40.90087890625,21.246875762939453,27.53734016418457,30.23451042175293,24.788663864135742,124.83000183105469,26.698091506958008,41.189876556396484,84.54835510253906,,19.780000686645508,163.81944274902344,87.30563354492188,332.6400146484375,295.3599853515625,60.477317810058594,61.516502380371094
2014-07-31,82.47126770019531,61.02473068237305,39.0359992980957,42.70000076293945,16.716415405273438,25.558000564575195,22.84894371032715,40.29643249511719,20.781333923339844,27.072406768798828,29.374481201171875,24.811771392822266,123.38999938964844,26.110261917114258,40.720890045166016,84.65718078613281,,19.579999923706055,160.5843505859375,87.04601287841797,337.6000061035156,290.55999755859375,60.40018844604492,61.516502380371094
2014-08-01,82.78229522705078,61.22796630859375,39.08525085449219,42.209999084472656,16.60953712463379,25.31163787841797,22.472702026367188,40.262840270996094,20.68212127685547,26.85986328125,29.525896072387695,24.565345764160156,124.37999725341797,26.066394805908203,41.091148376464844,84.96343231201172,,19.520000457763672,160.0936279296875,87.71980285644531,334.7200012207031,289.5199890136719,60.62451934814453,61.62493896484375
2014-08-04,82.76709747314453,61.31022262573242,39.10797882080078,42.52000045776367,16.678695678710938,25.462635040283203,22.54324722290039,40.33000946044922,20.834760665893555,27.059123992919922,29.74393081665039,24.811771392822266,123.98999786376953,26.285737991333008,41.53546142578125,84.68293762207031,,19.399999618530273,161.24964904785156,87.49008178710938,339.0400085449219,291.8399963378906,60.65966033935547,61.68648910522461
2014-08-05,82.76709747314453,61.22796630859375,39.077667236328125,42.2599983215332,16.496379852294922,25.15269660949707,22.18268585205078,39.69197463989258,20.560012817382812,26.84658432006836,29.319963455200195,24.642351150512695,123.87000274658203,26.224315643310547,41.10760498046875,84.62054443359375,,19.049999237060547,159.6860809326172,87.77338409423828,342.7200012207031,289.2799987792969,60.72298049926758,61.66342544555664
2014-08-06,82.77471923828125,61.29526901245117,39.08525085449219,42.25,16.584392547607422,25.287799835205078,22.221874237060547,39.49049377441406,20.537120819091797,26.793447494506836,29.525896072387695,24.95808219909668,125.66999816894531,25.926013946533203,40.934814453125,84.877685546875,,19.229999542236328,159.7359619140625,87.82704162597656,347.3599853515625,287.6000061035156,60.72298049926758,61.68648910522461
2014-08-07,82.93392944335938,61.429813385009766,39.13067626953125,42.63999938964844,16.39579200744629,25.112960815429688,21.947528839111328,39.35618209838867,20.224220275878906,26.567625045776367,29.150381088256836,24.857973098754883,126.18000030517578,25.73299789428711,40.66328430175781,84.98682403564453,,19.170000076293945,158.87109375,88.6463394165039,342.3999938964844,289.2799987792969,60.88471984863281,61.75568771362305
2014-08-08,82.96434020996094,61.38496017456055,39.183719635009766,42.29999923706055,16.35807228088379,25.120908737182617,22.24538803100586,39.4233283996582,20.514223098754883,26.554344177246094,29.065595626831055,24.58844566345215,126.19000244140625,26.004980087280273,41.34621810913086,85.05694580078125,,19.190000534057617,160.70904541015625,88.45488739013672,349.6000061035156,288.9599914550781,60.758121490478516,61.75568771362305
