Date,AGG,BND,BNDX,BNO,EWA,EWC,EWG,EWJ,EWQ,EWU,EWZ,FTGC,GLD,INDA,MCHI,MUB,PDBC,SLV,SPY,TLT,UNG,USO,VCIT,VCSH
2024-04-23,92.6994857788086,69.01779174804688,46.856689453125,32.43000030517578,23.020111083984375,36.85798263549805,30.192737579345703,65.79803466796875,39.44569778442383,32.93126678466797,28.830942153930664,23.806625366210938,215.0399932861328,51.63642501831055,39.772605895996094,104.14350128173828,13.603836059570312,24.989999771118164,500.79718017578125,86.34679412841797,15.4399995803833,79.9800033569336,76.0343017578125,74.36347198486328
2024-04-24,92.4571762084961,68.84268951416016,46.65414047241211,32.36000061035156,22.88503646850586,36.52557373046875,30.056076049804688,66.08148193359375,39.406883239746094,32.89282989501953,28.67365074157715,23.796863555908203,214.63999938964844,51.63642501831055,40.388099670410156,104.06529235839844,13.594269752502441,24.899999618530273,500.5594787597656,85.73577880859375,14.359999656677246,79.63999938964844,75.81185913085938,74.29557800292969
2024-04-25,92.19547271728516,68.64813232421875,46.596275329589844,32.68000030517578,22.74996566772461,36.66244888305664,29.958457946777344,65.05521392822266,39.173988342285156,33.20994186401367,28.507104873657227,23.88474464416504,215.9199981689453,51.9144172668457,40.59326171875,103.76220703125,13.67080307006836,25.059999465942383,498.6579284667969,85.13446807861328,14.369999885559082,80.44000244140625,75.64744567871094,74.22767639160156
2024-04-26,92.39901733398438,68.80378723144531,46.72165298461914,32.72999954223633,22.88503646850586,36.78954315185547,30.222021102905273,65.6123275756836,39.46510314941406,33.46939468383789,29.18254280090332,23.865217208862305,216.6199951171875,51.94419860839844,41.374839782714844,103.75242614746094,13.67080307006836,24.889999389648438,503.3821716308594,85.58060455322266,14.0600004196167,80.38999938964844,75.83120727539062,74.26647186279297
2024-04-29,92.68009185791016,69.008056640625,46.83740234375,32.43000030517578,23.087644577026367,36.83842849731445,30.241544723510742,66.20854187011719,39.39717483520508,33.61353302001953,29.37684440612793,23.845685958862305,216.17999267578125,52.15269088745117,41.78517150878906,104.00662994384766,13.67080307006836,24.829999923706055,505.16485595703125,86.29829406738281,14.90999984741211,79.5,76.09231567382812,74.36347198486328
2024-04-30,92.30209350585938,68.74542236328125,46.692718505859375,31.969999313354492,22.518413543701172,36.09539794921875,29.73394012451172,65.74916076660156,38.85376739501953,33.34447479248047,28.710660934448242,23.406269073486328,211.8699951171875,51.97398376464844,40.90589141845703,103.95773315429688,13.489036560058594,24.049999237060547,497.1624450683594,85.56120300292969,14.4399995803833,78.37999725341797,75.78285217285156,74.26647186279297
2024-05-01,92.62779998779297,68.99324798583984,46.77872085571289,31.020000457763672,22.566652297973633,36.114952087402344,29.665607452392578,65.59278869628906,38.70820999145508,33.238765716552734,28.821691513061523,23.084030151367188,213.7899932861328,52.03355407714844,41.1989860534668,104.08612823486328,13.288135528564453,24.270000457763672,495.5480651855469,86.19187927246094,14.140000343322754,75.93000030517578,76.05660247802734,74.40172576904297
2024-05-02,93.0458755493164,69.26644897460938,46.87535858154297,31.100000381469727,22.981515884399414,36.506019592285156,29.97797966003418,66.92203521728516,39.09635925292969,33.6807975769043,29.40460205078125,23.06450080871582,213.1300048828125,52.59946060180664,43.44602966308594,104.24295043945312,13.307268142700195,24.360000610351562,500.1831359863281,86.56172180175781,14.859999656677246,75.93000030517578,76.4934310913086,74.6449966430664
2024-05-03,93.52228546142578,69.6176986694336,47.03962707519531,30.829999923706055,23.30954933166504,36.73088073730469,30.212261199951172,67.69417572021484,39.43598937988281,33.959468841552734,29.894989013671875,23.181676864624023,212.9600067138672,52.351253509521484,43.73911666870117,104.5467758178711,13.345535278320312,24.219999313354492,506.3830871582031,87.43765258789062,15.670000076293945,75.12999725341797,76.9399642944336,74.85906982421875
2024-05-06,93.59033203125,69.6860122680664,47.107269287109375,31.020000457763672,23.56039810180664,37.26859664916992,30.534395217895508,68.09490966796875,39.688289642333984,34.170875549316406,29.913494110107422,23.416032791137695,215.1999969482422,51.993839263916016,43.70003890991211,104.67420196533203,13.479469299316406,25.06999969482422,511.6124267578125,87.77827453613281,16.059999465942383,75.66000366210938,77.07585144042969,74.85906982421875
2024-05-07,93.78479766845703,69.82260131835938,47.20389175415039,30.940000534057617,23.763004302978516,37.16105270385742,30.837005615234375,67.35209655761719,39.979400634765625,34.27657699584961,30.089290618896484,23.435564041137695,214.2100067138672,51.53714370727539,43.2213249206543,104.95841979980469,13.479469299316406,24.920000076293945,512.1769409179688,88.3135757446289,16.170000076293945,75.5,77.08556365966797,74.86881256103516
