Date,GLD
2004-12-01,-0.03458148991315091
2005-01-01,-0.026009654499671075
2005-02-01,0.01897403137380893
2005-03-01,-0.02045975608387174
2005-04-01,0.017366764918322453
2005-05-01,-0.03390997595728695
2005-06-01,0.041786054330651634
2005-07-01,-0.018565238447426746
2005-08-01,0.0044371468487416355
2005-09-01,0.09509417140665644
2005-10-01,0.002547829097021337
2005-11-01,0.054637821890318516
2005-12-01,0.035743024523371414
2006-01-01,0.09887550005960888
2006-02-01,-0.025758628733446476
2006-03-01,0.06120965553602242
2006-04-01,0.11075081967170397
2006-05-01,0.00030733251784309523
2006-06-01,-0.08585470895693958
2006-07-01,0.06031586231481012
2006-08-01,-0.026778678894974206
2006-09-01,-0.031748567345743384
2006-10-01,0.007230541388085321
2006-11-01,0.054424010659244404
2006-12-01,0.0007916282010984599
2007-01-01,0.015978518444221157
2007-02-01,0.018530090607077776
2007-03-01,0.005045011209062311
2007-04-01,0.027684815241334926
2007-05-01,-0.042036655425091496
2007-06-01,-0.00695309902887864
2007-07-01,0.023339039650655202
2007-08-01,0.00045623248020243423
2007-09-01,0.117173232931433
2007-10-01,0.05223773944087573
2007-11-01,0.012023275029370728
2007-12-01,0.06029638853228292
2008-01-01,0.10915659709149006
2008-02-01,0.04268955474036851
2008-03-01,-0.042816967411381635
2008-04-01,-0.06606443052106648
2008-05-01,0.019111985040304313
2008-06-01,0.0459691756746452
2008-07-01,-0.02131851483123559
2008-08-01,-0.08724305017273104
2008-09-01,0.09619386486867776
2008-10-01,-0.1882326746432469
2008-11-01,0.10452480497615735
2008-12-01,0.06960533105740319
2009-01-01,0.06298016224231362
2009-02-01,0.014456244990886047
2009-03-01,-0.028608377146277286
2009-04-01,-0.0183374245868132
2009-05-01,0.08909764467389136
2009-06-01,-0.04324320337507903
2009-07-01,-0.0045632134372830535
2009-08-01,0.02455795604179878
2009-09-01,0.037924762484609076
2009-10-01,0.05234525770447007
2009-11-01,0.1222081237537962
2009-12-01,-0.07065876434838059
2010-01-01,-0.009071366482135357
2010-02-01,0.032748218673886775
2010-03-01,-0.013341853974239815
2010-04-01,0.05844213658658215
2010-05-01,0.04025199967848114
2010-06-01,0.020104302194368096
2010-07-01,-0.047662232533156046
2010-08-01,0.046930521245080126
2010-09-01,0.05822506883554923
2010-10-01,0.03649861883806382
2010-11-01,0.0067108989776538674
2010-12-01,0.026365099372996026
2011-01-01,-0.04925928672649038
2011-02-01,0.05449805165828625
2011-03-01,0.009389963897826092
2011-04-01,0.09879568132359129
2011-05-01,-0.017523123019671405
2011-06-01,-0.016833696217991245
2011-07-01,0.07548580760447132
2011-08-01,0.13146764609286188
2011-09-01,-0.11948636753761321
2011-10-01,0.0755865466050556
2011-11-01,-0.016153698344832046
2011-12-01,-0.08922578471941323
2012-01-01,0.1055332107797986
2012-02-01,0.032494237657162195
2012-03-01,-0.06553697628665178
2012-04-01,-0.004564460009020221
2012-05-01,-0.058681378945178886
2012-06-01,0.021591723390333994
2012-07-01,0.014433856557356073
2012-08-01,0.019627845648467757
2012-09-01,0.07083226273710119
2012-10-01,-0.03467337678183813
2012-11-01,0.007533297506029157
2012-12-01,-0.03971766766688212
2013-01-01,0.010277869841021525
2013-02-01,-0.04698190395514912
2013-03-01,-0.0007764143772399645
2013-04-01,-0.07866619706412781
2013-05-01,-0.039353520614322623
2013-06-01,-0.1286759087825774
2013-07-01,0.07564431584809239
2013-08-01,0.05073368910180287
2013-09-01,-0.041969945783804086
2013-10-01,0.004884894757304359
2013-11-01,-0.06867290691456285
2013-12-01,-0.04399335288194517
2014-01-01,0.037958205014175794
2014-02-01,0.0703849089208759
2014-03-01,-0.02839313164038515
2014-04-01,0.002408502389514844
2014-05-01,-0.03547973957649109
2014-06-01,0.05173132393212976
2014-07-01,-0.01444814288760432
2014-08-01,-0.00777057763738509
2014-09-01,-0.05514291778942426
2014-10-01,-0.01572243319732647
2014-11-01,-0.026738447484810246
2014-12-01,0.027562182865649598
2015-01-01,0.07161458523047215
2015-02-01,-0.05905219494812253
2015-03-01,-0.020747276051399588
2015-04-01,0.01547254625257577
2015-05-01,-0.012206766825667459
2015-06-01,-0.009027158572053051
2015-07-01,-0.07782792142486106
2015-08-01,0.04248585832740015
2015-09-01,-0.006623676278955659
2015-10-01,0.012224482809663595
2015-11-01,-0.07365052906673619
2015-12-01,0.001678994261188338
2016-01-01,0.054525723517417246
2016-02-01,0.09499769941112013
2016-03-01,-8.540804524226342e-05
2016-04-01,0.05593512499665221
2016-05-01,-0.06494135608737739
2016-06-01,0.08839295406097625
2016-07-01,0.024952316282791376
2016-08-01,-0.030624880439492963
2016-09-01,0.008318011082789178
2016-10-01,-0.03561511759053193
2016-11-01,-0.06835009921726865
2016-12-01,-0.032312140383018884
2017-01-01,0.03977739792056734
2017-02-01,0.04518734290355919
2017-03-01,-0.005456695020917168
2017-04-01,0.019414158847508745
2017-05-01,-0.005216504686010093
2017-06-01,-0.015148990378478944
2017-07-01,0.020030449228320313
2017-08-01,0.030408468760509955
2017-09-01,-0.02235444488302374
2017-10-01,-0.0037013042511879757
2017-11-01,0.007512620182806629
2017-12-01,0.013192400838032858
2018-01-01,0.025475143445264026
2018-02-01,-0.013170392414408316
2018-03-01,0.005274543887128003
2018-04-01,-0.002305436945835293
2018-05-01,-0.01697208966866881
2018-06-01,-0.03825890504678553
2018-07-01,-0.02528444973804478
2018-08-01,-0.01738004418253869
2018-09-01,-0.0077437280723716695
2018-10-01,0.026959922471929687
2018-11-01,-0.0005181795026500957
2018-12-01,0.045965092388251305
